produit	libelllé	description	prix TTC	conditionnement	TVA	référence	photos	Non actif
MUGS ET BOLS								
set 4 mugs	Mugs En Rouge et Noir	Set de 4 mugs en porcelaine à motifs graphiques rouge et noir, contenance 17cl.	29.99€	vendus par 4	20.00%	4PMRN	"mug_en_rouge_et_noir_01.jpg
mug_en_rouge_et_noir_02.jpg"	
mug 	Mug Chic	Mug en porcelaine de Chine à motifs cubes dorés à l'or fin. Présenté dans un coffret prêt à offrir. Contenance 35cl, lavage en lave vaisselle déconseillé. Ne pas utiliser dans un micro ondes.	23.50€	vendu a l'unité dans un coffret	20.00%	MP01	"mug_chic_01.jpg
mug_chic_02.jpg"	
mug 	Mug Ananas	Mug en porcelaine de Chine. Motifs ananas doré à l'or fin. Présenté dans un coffret prêt à offrir. Contenance 35cl. Lavage en lave vaisselle déconseillé. Ne pas utiliser dans un micro ondes.	23.50€	vendu a l'unité dans un coffret	20.00%	MP02	"mug_ananas_01.jpg
mug_ananas_02.jpg"	
bol	Bol Le Rêve Bleu	Bol pour préparation Matcha ou autre. Exterieur noir mat et interieur bleu brillant. Diamètre 13cm et hauteur 6cm.	12.99€	vendu à l'unité	20.00%	BM01	bol_reve_bleu.jpg	
TISANIERES								
tisanière	Tisanière La Romantique Blanche	Tisanière en porcelaine blanche, double paroi avec filtre inox et couvercle. Contenance 35cl.	26.10€	vendue à l'unité	20.00%	TP01	"tisaniere_la_romantique_blanche_01.jpg
tisaniere_la_romantique_blanche_02.jpg
tisaniere_la_romantique_blanche_03.jpg
tisaniere_la_romantique_blanche_04.jpg"	0
tisanière	Tisanière La Romantique Marron	Tisanière en porcelaine marron, double paroi avec filtre inox et couvercle. Contenance 35cl.	26.10€	vendue à l'unité	20.00%	TP02	"tisaniere_la_romantique_marron_01.jpg
tisaniere_la_romantique_marron_02.jpg
tisaniere_la_romantique_marron_03.jpg
tisaniere_la_romantique_marron_04.jpg"	
THEIERES								
théière avec filtre	Théière Mod	Théière en céramique de style contemporain gris anthracite mat avec un filtre inox. Contenance 0.8L.	29.99€	théière seule avec filtre	20.00%	TC01	"theiere_mod_01.jpg
theiere_mod_02.jpg"	
théière avec filtre	Théière Top	theiere en ceramique style contemporain couleur taupe mate avec filtre inox contenance 0.8l	29.99€	théière seule avec filtre	20.00%	TC02	theiere_top.jpg	
théière japonaise	Théière Chance	Petite théière en terre cuite marron avec motifs trèfle, typique pour cérémonie japonaise. Filtre intégré à la théière.	49.99€	vendue à l'unité	20.00%	TJTC01	"theiere_chance_01.jpg
theiere_chance_02.jpg"	
