produit	libellé	origine	résumé	description	prix TTC	grammage	conditionnement	TVA	réference	Photos	Temps d'infusion 	Température	Quantité/L	Non actif
Infusions gourmandes														
Près des étoiles bio	Infusion 		Cette tisane légérement parfumée est idéale pour le soir. Sa saveur subtile vous donnera douceur et plaisir à la dégustation.	Tisane pour le soir BIO. Pomme*, citronnelle*, menthe*, hibiscus*, écorces d'orange*, racine de réglisse*. *Issu de l'agriculture biologique.	"7.90€
4.00€"	"100gr
50gr"	sachet kraft	5,50 %	T004	pres_des_etoiles_bio_sachet.jpg	7-10 mn	100°C	12-15g/L	
L'Ooorange bio	Infusion saveur orange		Cette boisson fruitée, dépourvue de caféine est très désaltérante. Elle est idéale pour l'après midi. À la fraicheur de l'infusion, vient s'ajouter une toûche mielleuse grâce au Rooibos. Se déguste tout au long de l'année sur les pistes de ski comme sur les bords de mer.	Infusion, saveur orange. Carotte*, gingembre*, écorces d'orange*, Rooibos naturel*, pomme*, feuilles de mûre*, gingembre (gingembre, sucre de canne brut)*, arôme naturel, menthe poivrée*, verveine entière*, passiflore*, fleurs de bleuet*. *Issu de l'agriculture biologique. 	"9.90€
5.00€"	"100gr
50gr"	sachet kraft	5,50 %	T001	"l'ooorange_bio_sachet.jpg
l'ooorange_bio_vrac.jpg"	10-12 mn	100°C	15-20g/L	
Soleil des tropiques bio	Infusion saveur grenade-mangue		Délicieux mélange de saveurs fruitées évoquant des fruits juteux et gourmands. Le côté mielleux du Rooibos se mêle à la passion de ces fruits. À consommer à toute heure de la journée.	Infusion, saveur grenade-mangue. Pomme*, citronnelle*, Rooibos naturel*, raisin (raisin, huile vegetale)*, cynorrhodon*, arome naturel, fleurs de souci*, grenade* (2%), mangue* (1%), petales de rose*. *Issu de l'agriculture biologique. 	"8.90€
4.50€"	"100gr
50gr"	sachet kraft	5,50 %	IF002	"soleil_des_tropiques_bio_sachet.jpg
soleil_des_tropiques_bio_vrac.jpg"	10-12 mn	100°C	15-20g/L	
L'aromatique bio	Infusion saveur romarin-thym-citron		Cette infusion à la douceur et au parfum de Provence vous offrira de belles balades gustatives. Des plantes apaisantes avec des qualités digestives ; cette infusion est idéale après les repas.	Infusion, saveur romarin-thym-citron. Citronnelle*, batons de cannelle*, feuilles d'olivier*, verveine entière*, romarin*, thym*, arôme naturel, lavande*, fleurs de tilleul*. *Issu de l'agriculture biologique. 	"9.90€
5.00€"	"100gr
50gr"	sachet kraft	5,50 %	T002	"l_aromatique_bio_sachet.jpg
l_aromatique_bio_vrac.jpg"	10-12 mn	100°C	15-20g/L	
Grand boum bio	Infusion saveur citron-orange sanguine		Mélange vivifiant qui ravivera vos papilles. Un petit régal qui viendra rafraichir votre coeur.	Infusion, saveur citron-orange sanguine. Pomme*, raisin (raisin, huile vegetale)*, coing*, citronnelle*, verveine entière*, batons de cannelle*, écorces d'orange*, arôme naturel, morceaux de pomme*, passiflore*, baies de goji*, physalis*, pétales de rose*. *Issu de l'agriculture biologique.	"10.00€
5.20€"	"100gr
50gr"	sachet kraft	5,50 %	IF003	"grand_boum_bio_sachet.jpg
grand_boum_bio_vrac.jpg"	7-10 mn	100°C	15-20g/L	
Mon lutin des bois bio	Infusion saveur citron-baies sauvages		Cette infusion qui accueille le citron dans ces sous bois donne une étonnante émotion gustative. Les baies sauvages viennent adoucir l'acidité du citron. Une belle balade sauvage en tasse.	Infusion, saveur citron-baies sauvages. Pomme*, Rooibos vert*, verveine*, arôme naturel, écorces d'orange*, fleurs de souci*, verveine entière*, feuilles de mûre*, framboise*, passiflore*, cassis*. *Issu de l'agriculture biologique. 	"9.90€
5.00€"	"100gr
50gr"	sachet kraft	5,50 %	T003	"mon_lutin_des_bois_bio_sachet.jpg
mon_lutin_des_bois_bio_vrac.jpg"	7-10 mn	100°C	15-20g/L	
T'Crepe bio	Infusion saveur fleurs d'oranger		Cette infusion à la fleur, aux innombrables vertus et au parfum envoutant vous rappellera de beaux souvenirs d'enfance. Apaisante, elle est idéale pour le soir.	Infusion, saveur fleurs d'oranger. Pomme*, verveine*, citronnelle*, verveine entière*, écorces d'orange*, batons de cannelle*, arome naturel. *Issu de l'agriculture biologique. 	"10.90€
5.90€"	"100gr
50gr"	sachet kraft	5,50 %	IF001	"t_crepe_bio_sachet.jpg
t_crepe_bio_vrac.jpg"	7-10 mn	100°C	12-15g/L	
La barbarie bio	Infusion saveur figue de barbarie-abricot		Ce breuvage est une explosion fruitée. Une infusion gourmande, unique et vivifiante. 	Infusion, saveur figue de babarie-abricot. Pomme*, coing*, cinorrhodon*, figue (figue, farine de riz)* (11%), papaye*, écorces de citron*, arôme naturel, griotte*. *Issu de l'agriculture biologique.	"9.70€
4.90€"	"100gr
50gr"	sachet kraft	5,50 %	IF004	"la_barbarie_bio_sachet.jpg
la_barbarie_bio_vrac.jpg
"	10-12 mn	100°C	15-20g/L	
Carapoum bio	Infusion saveur pomme grillé 		Cette infusion délicatement gourmande sans théine à base de généreux morceaux de pomme est idéale pour une pause cocooning.	Infusion, saveur pomme grillée. Pomme*(49%), raisin (raisin, huile végétale)*, datte (datte, farine de riz)*, cynorrhodon*, betterave rouge*, bâtons de cannelle*, arôme naturel, morceaux de pomme* (4%), bourbon vanille*. *Issu de l'agriculture biologique.	"9.50€
5.00€"	"100gr
50gr"	sachet kraft	5.50%	T005		10-12 mn	100°C	15-20g/L	
Douceur du soir bio	Infusion saveur brownie-citronnelle		Cette infusion gourmande et surprenante est idéale pour les longues soirées d'hiver devant la télévison. Elle satisfera vos papilles tout en délicatesse et vous apportera la douceur sucrée du soir.	Infusion, saveur brownie. Citronnelle*, mélisse*, ortie*, écorces de cacao*, fève de cacao concassée*, basilic*, valériane*, millepertuis*, lavande*, badiane*, passiflore*, arôme naturel, fleurs de houblon*. *Issu de l'agriculture biologique.	"10.00€
5.10€"	"100gr
50gr"	sachet kraft	5.50%	T006		7-10 mn	100°C	12-15g/L	
Feuilles en vrac														
Feuilles d'eucalyptus bio	Infusion feuilles d'eucalyptus	Portugal	"L'eucalyptus est une espèce originaire d'Australie. Son nom vient du grec eu ""bien"" et kalupsos ""couvert"". Appelée également ""arbre de la fièvre"" ; elle est utilisée pour traiter les affections respiratoires et soulager la fièvre et les états gripaux. Cette plante est également un bon antiseptique et désinfectant pour les voies urinaires. L'infusion d'eucalyptus à une saveur caractéristique ; très fraiche, mentholée et très puissante tout en restant très agréable à boire. 2 à 3 feuilles par tasse suffisent pour l'infusion et pas plus de trois tasses par jour."	Infusion d'eucalyptus, feuilles coupe grossière, issu de l'agriculture biologique.	"7.50€
3.80€"	"100gr
50gr"	sachet kraft	5.50%	HVFE1		5-10 mn	100°C	13-18g/L	
Fenouil Bio	Infusion et préparation culinaire fenouil		"Cette grande herbe vivace peut atteindre deux mètres sur le pourtour méditerranéen où elle pousse spontanément. Cette herbacée pousse sur des terrains arides. L'infusion de semences de fenouil aide lors de régles douloureuses, facilite la digestion, améliore le confort intestinal (trouble digestif) et a également une action drainante. Ventre plat aprés évacuation des gaz, relâchement des muscles intestinaux et elle libére par les urines, l'eau en rétention dans les tissus dans le bas des jambes et au niveau des paupiéres. Mâcher quelques semences de fenouil permet de se débarraser de la mauvaise haleine. 
Pour la cuisine, le fenouil parfumera délicatement tous les poissons. Vous pouvez moudre les graines de fenouils, sur du poisson, c'est juste exquis."	Infusion de fenouil issu de l'agriculture biologique.	6.20€      3.20€	100gr        50gr	sachet kraft	5.50%	HVF01		10-15 mn	100°C	13-18g/L	
Tilleul bio	Infusion tilleul bio		"Le tilleul est un arbre sauvage majestueux qui vit plusieurs siècles et qui nous invite à une vie paisible. Ces fleurs et feuilles de tilleul peuvent être bénéfiques pour les troubles digestifs, les états grippaux et les troubles nerveux. C'est une plante calmante et appaisante ; c'est pourquoi elle favorise le sommeil et l'endormissement. 
Pour la cuisine, vous pouvez légérement soupoudrer vos salades qu'elles ne manqueront pas de parfumer."	Infusion de tilleul, feuilles et fleurs coupe grossiére, issu de l'agriculture biologique.	18.40€    9.30€	100gr      50gr	sachet kraft	5.50%	HVT01		5-10 mn	100°C	12-15g/L	
Feuilles de verveine bio	Infusion feuilles de verveine bio		"La verveine, surnommée ""herbe sacrée"", est tranquillisante ; elle réconforte dans les moments difficiles. Elle est utilisée pour ses vertus calmantes, apaisantes et anti-inflammatoires. Elle aide également à la digestion. Boire une tasse aprés les deux gros repas de la journée favorise la digestion. Elle peut être utilisée pour des bains relaxants."	Infusion de Feuilles de verveine, feuilles entiéres, issu de l'agriculture biologique.	2.90€	15gr	sachet kraft	5.50%	HVFV1		7-10 mn	100°C	12-15g/L	
Camomille bio	Infusion camomille bio		Une infusion de camomille aide à combattre l'irritation, le stress et l'insomnie. Elle est donc très apaisante mais pas uniquement. La camomille combat les bactéries responsables des troubles digestifs, tout en respectant la flore intestinale. C'est pourquoi il est conseillé de boire une infusion aprés les repas afin d'apaiser les intestints et la digestion (pour les personnes ayant une mauvaise digestion, des aigreurs d'estomac, spames digestifs, gastro ou diarrhé).  La camomille peut également aider lors de maux de dents, de gorge ainsi que pour les douleurs de régles.	Infusion de camomille, coupe grossiére, issu de l'agriculture biologique.	    7.90€	      50gr	sachet kraft	5.50%	HVC01		5-10 mn	100°C	13-18g/L	
Rooibos														
Rooibos nature bio	Rooibos	Afrique du sud	"Le Rooibos, appelé ""thé rouge"", est la boisson reine de l'Afrique du Sud et se boit par tout le monde, du plus jeune au plus ancien et à toute heure de la journée. Cette infusion rouge cuivrée au parfum doux et suave ne contient pas de théine et est pauvre en tanins mais riche en nutriments et minéraux."	Rooibos naturel issu de l'agriculture biologique, non aromatisé, classification des feuilles coupe grossière. 	"8.90€
4.50€"	"100gr
50gr"	sachet kraft	5,50 %	R0001	"rooibos_nature_bio_sachet.jpg
rooibos_nature_bio_vrac.jpg"	7-10 mn	100°C	15-20g/L	
Rooibos vert nature bio	Rooibos vert	Afrique du sud	Le Rooibos vert est un rooibos non fermenté, contrairement au rooibos rouge au goût légérement citronné. Cette boisson sans caféine est idéale à tout moment de la journée.	Rooibos vert issu de l'agriculture biologique, non aromatisé, classification des feuilles coupe grossiére.	"11.90€
6.00€"	"100gr
50gr"	sachet kraft	5.50%	R0002		76-10mn	100°C	15-20g/L	
Infusions utiles														
infusions utiles en vert														
