produit	libellé	origine	résumé	description	prix TTC	grammage	conditionnement	TVA	réference	Photos	Temps d'infusion 	Température	Quantité/L	Non actif
Les prodigieux prestigieux														
Ceylon vert bio	thé vert bio de prestige	Sri Lanka	Une petite coopérative sri lankaise propose un thé différent du thé noir de ceylan traditionnel. Elle a donné naissance à un excellent thé vert qui se caractérise par ses feuilles d'un vert profond, ouvertes et enroulées ainsi que par son arôme floral frais et sa tasse puissante.	Thé vert ceylan issu de l'agriculture biologique, non aromatisé, avec des feuilles entières.	7.95€	50gr	sachet kraft	5,50 %	TVP02	"ceylon_vert_prestige_bio_sachet.jpg
ceylon_vert_prestige_bio_vrac.jpg"	2-3 mn	70-80°C	12-13g/L	
Assam SFTGFOP 1 tonganagaon bio	thé noir bio de prestige	Assam nord est de l'Inde	Les feuilles particulièrement grandes de ce thé proviennent du jardin de Tonganagaon au Nord Est de l'Inde. Le puissant goût de ce thé, long en bouche avec des nuances de malt et de miel en fond, donne une parfaite harmonie. La tasse marron, doré et chaude laisse deviner la delicatesse épicée de ce thé.	Thé noir assam SFTGFOP 1 issu de l'agriculture biologique non aromatisé avec des feuilles entières. 	8.90€	50gr	sachet kraft	5,50 %	TNP01	"assam_SFTGFOP_1_tonganagaon_bio_sachet.jpg
assam_SFTGFOP_1_tonganagaon_bio_vrac.jpg"	3-5 mn	100°C	12-15g/L	
Darjeeling FTGFOP 1 pussimbing bio	thé vert bio de prestige	Inde	Darjeeling de haute qualité avec une tasse légère. Une infusion délicate et florale.	Thé vert Darjeeling FTGFOP 1 pussimbing issu de l'agriculture biologique, non aromatisé, avec des feuilles entières. 	"13.90€
6.99€"	"100gr
50gr"	sachet kraft	5,50 %	TVP03	"darjeeling_FTGFOP_1_pussimbing_bio_sachet.jpg
darjeeling_FTGFOP_1_pussimbing_bio_vrac.jpg"	1-3 mn	70-80°C	12-15g/L	
Jasmin imperial bio	thé vert bio de prestige	Chine	Mélange de quatre thés verts et blancs d'exception avec la douceur du jasmin.	Thé vert chine, jasmin pai mu tan chine, jasmin silverneedle china, jasmin dragon pearls, tous issus de l'agriculture biologique, non aromatisés avec des feuilles entières. 	9.50€	50gr	sachet kraft	5,50 %	TVP02	"jasmin_imperial_bio_sachet.jpg
jasmin_imperial_bio_vrac.jpg"	2-3 mn	75-80°C	12-15g/L	
Duvet argenté 1er grade bio	Thé vert bio de prestige	Chine	Les jeunes bourgeons, récoltés pour cette spécialité, diffusent un parfum frais et léger. Les feuilles aux petits poils argentés scintillants sont roulées délicatement en petites boules et donnent une tasse claire et lumineuse au caractére incomparablement vivant et pétillant.	Thé vert de Chine ; China Snowy Yaoyan 1er grade, issu de l'agriculture biologique, non aromatisé avec des feuilles roulées.	15.50€	50gr	sachet kraft	5.50%	TBP01		1-1.5 mn	70-80°C	12-15g/L	0
Les bruts de decoffrage														
Darjeeling FTGFOP 1 first flush blend  bio	thé noir bio	Inde	Ce Darjeeling de première cueillette présente un arôme délicat et parfumé. Il est frais et fleuri avec une tasse claire.	Thé noir issu de l'agriculture biologique, non aromatisé, avec des feuilles entières. 	"11.90€
5.90€"	"100gr
50gr"	sachet kraft	5,50 %	TND01	darjeeling_FTGFOP1_first_flush_blend_bio_vrac.jpg	2-4 mn	100°C	13g/L	0
Assam TGFOP second flush rembeng bio	thé noir bio	Inde	Ce thé Assam bio, riche en saveurs et en arômes avec une touche légèrement malte, provient de la célèbre plantation de Rembeng qui est connue pour ces thés d'excellente qualité et son agriculture biologique. La récolte second flush est la plus prisée des deux récoltes généralement éffectuées. Elle se fait en été.	Thé noir Assam OP issu de l'agriculture biologique, non aromatisé, avec des feuilles entières. 12-15gr au litre, temps d'infusion 3-5min à 100°C.	"12.90€
6.50€"	"100gr
50gr"	sachet kraft	5,50 %	TNAS1	"assam_TGFOP_second_flush_rembeng_bio_sachet.jpg
assam_TGFOP_second_flush_rembeng_bio_vrac.jpg"	3-5 mn	100°C	12-15g/L	
Ceylon OP venture bio	thé noir bio	Sri Lanka	Ce thé de Ceylon OP venture bio est issu d'un grand jardin de l'île de Ceylan. Il donne une tasse à l'aspect cuivre et un goût vif et puissant. Il est idéal pour le petit déjeuner. C'est un grand classique tonique pour le matin.	Thé noir Ceylan OP issu de l'agriculture biologique, non aromatisé, avec des feuilles entières. 	"10.70€
5.50€"	"100gr
50gr"	sachet kraft	5.50%	TNC01	"ceylon_OP_venture_bio_sachet.jpg
ceylon_OP_venture_bio_vrac.jpg"	3-5 mn	100°C	13g/L	
